Acres_burned,Fire_cause,FireDiscoveryDateTime,FireOutDateTime,IncidentName,Latitude,Longitude,County,Country,State,Fire_duration,Month,Month_name
4,Lightning,2021/07/05 17:27:00+00,2021/08/03 14:00:00+00,Tarrell,45.92073,-104.461,Carter,US,MT,29,7,Jul
5,Other Human Cause,2021/07/05 23:21:00+00,2021/07/07 18:00:00+00,MM26 HWY78,43.26059,-116.5657,Owyhee,US,ID,2,7,Jul
2,Other Human Cause,2021/07/05 22:11:00+00,2021/07/08 18:00:00+00,MM25 HWY78,43.28076,-116.5794,Owyhee,US,ID,3,7,Jul
22,Equipment,2021/07/07 20:50:00+00,2021/08/29 23:00:00+00,Brush Coulee,45.6045,-107.554,Big Horn,US,MT,53,7,Jul
0,Debris/Open Burning,2021/07/04 00:02:45+00,2021/07/04 00:42:00+00,Old Glenn,61.4865,-149.114833,Matanuska-Susitna,US,AK,0,7,Jul
32,Lightning,2021/07/07 20:13:00+00,2021/08/01 21:30:00+00,Sweet Ridge,46.19919,-116.7937,Nez Perce,US,ID,25,7,Jul
20,Lightning,2021/07/07 18:04:00+00,2021/07/11 21:59:59+00,WATSON BASIN,44.9696,-105.927,Campbell,US,WY,4,7,Jul
0,Other Human Cause,2021/07/03 18:30:00+00,2021/07/03 20:00:00+00,Hill,44.43262,-103.4733,Meade,US,SD,0,7,Jul
19,Lightning,2021/07/01 19:52:00+00,2021/07/04 17:15:00+00,Houston,43.89384,-113.6553,Custer,US,ID,3,7,Jul
0,Other Human Cause,2021/07/08 04:20:00+00,2021/07/08 12:30:00+00,Bull,44.62935,-113.1968,Lemhi,US,ID,0,7,Jul
48,Cause not found,2021/07/07 23:05:00+00,2021/08/03 18:00:00+00,Willow Creek,39.02324,-111.7515,Sevier,US,UT,27,7,Jul
28,Lightning,2021/05/23 18:22:00+00,2021/07/01 19:15:00+00,Gould Fire,37.64384,-108.4116,Montezuma,US,CO,39,5,May
0,Lightning,2021/07/07 21:11:45+00,2021/07/08 01:50:00+00,Fuller,42.23133,-114.1632,Cassia,US,ID,0,7,Jul
184,Lightning,2021/06/24 21:33:00+00,2021/07/29 14:00:00+00,Black Point ,45.16795,-104.6337,Carter,US,MT,35,6,Jun
4,Lightning,2021/07/07 02:56:00+00,2021/07/07 05:29:59+00,Watermark - Garfield,47.25994,-107.575,Garfield,US,MT,0,7,Jul
0,Lightning,2021/07/07 02:00:00+00,2021/08/03 14:00:00+00,Rich Coulee,47.3575,-107.971,Garfield,US,MT,28,7,Jul
17,Other Human Cause,2021/06/13 00:20:59+00,2021/06/13 21:49:00+00,CLOUD,34.17705,-117.2742,San Bernardino,US,CA,1,6,Jun
14,Undetermined,2021/05/06 18:13:55+00,2021/05/11 00:59:59+00,CARY,33.593694,-116.725256,Riverside,US,CA,4,5,May
1,Lightning,2021/07/08 19:54:00+00,2021/07/20 02:00:00+00,Walker Hollow,42.17651,-113.9829,Cassia,US,ID,11,7,Jul
4,Lightning,2021/07/01 12:10:57+00,2021/07/08 00:00:00+00,ROCKY BUTTE 0465 PR,44.29709,-120.5548,Crook,US,OR,6,7,Jul
0,Lightning,2021/07/08 21:04:59+00,2021/07/12 20:32:00+00,Rye Coulee ,47.971717,-109.109667,Blaine,US,MT,4,7,Jul
0,Lightning,2021/07/08 23:27:00+00,2021/07/09 20:00:00+00,ESTERBROOK,42.43073,-105.364,Converse,US,WY,1,7,Jul
8,Lightning,2021/07/08 21:39:00+00,2021/07/12 21:41:00+00,Hedges Creek,48.055167,-109.302667,Blaine,US,MT,4,7,Jul
1,Lightning,2021/07/08 18:49:59+00,2021/07/12 23:13:59+00,Bullwhacker Trail,47.967895,-109.179328,Blaine,US,MT,4,7,Jul
7,Firearms/Weapons,2021/07/04 20:56:00+00,2021/07/07 23:48:59+00,LONE,34.25699,-117.4579,San Bernardino,US,CA,3,7,Jul
20,Lightning,2021/07/07 15:38:34+00,2021/09/20 18:01:59+00,Siegel Creek,47.27206,-114.7734,Sanders,US,MT,75,7,Jul
2,Lightning,2021/07/08 19:23:00+00,2021/07/14 21:45:00+00,Grand Canyon,44.24813,-104.0598,Crook,US,WY,6,7,Jul
2,Lightning,2021/07/07 18:20:59+00,2021/07/11 02:11:00+00,ROCHELLE HILLS,43.56818,-105.1088,Campbell,US,WY,3,7,Jul
37,Lightning,2021/07/09 00:43:00+00,2021/08/20 17:15:00+00,Aspen Gulch,43.62825,-114.0013,Blaine,US,ID,43,7,Jul
17,Lightning,2021/06/22 04:47:00+00,2021/07/13 15:59:59+00,Wilson Creek,65.3303,-161.5766,Nome,US,AK,21,6,Jun
1011,Lightning,2021/07/05 21:39:00+00,2021/07/22 17:42:59+00,JUNIPER,41.81785,-120.6391,Modoc,US,CA,17,7,Jul
5,Lightning,2021/07/01 01:25:00+00,2021/08/01 18:00:00+00,KELSEY,43.90268,-117.9598,Malheur,US,OR,32,7,Jul
131,Equipment,2021/06/29 22:21:00+00,2021/09/27 18:59:59+00,Middle Bridge,44.84563,-117.4894,Baker,US,OR,90,6,Jun
46,Incendiary,2021/04/06 20:40:00+00,2021/04/13 21:00:00+00,CHARLEYS CREEK,35.27545,-83.012783,Jackson,US,NC,7,4,Apr
17,Lightning,2021/06/04 01:18:00+00,2021/07/07 22:18:59+00,TURN BULL,43.34561,-117.8641,Malheur,US,OR,34,6,Jun
14,Lightning,2021/06/23 07:21:59+00,2021/06/23 23:00:00+00,Fish River,65.91667,-159.9998,Northwest Arctic,US,AK,1,6,Jun
115,Lightning,2021/07/08 17:10:00+00,2021/07/13 18:00:00+00,BAKER,44.13489,-105.0005,Weston,US,WY,5,7,Jul
